Ethnicity,Subject,TestScorePercentage,StateTestPercentage,gsid
Hispanic,English,35,37,5996
All students,Science,33,53,5996
Hispanic,Science,35,40,5996
All students,Math,27,37,5901
Hispanic,Math,20,24,5901
White,Math,48,53,5901
Asian,Math,73,72,5901
Filipino,Math,58,57,5901
All students,English,38,48,5901
Hispanic,English,33,37,5901
White,English,58,64,5901
Asian,English,73,75,5901
Filipino,English,50,70,5901
All students,Science,51,53,5901
Hispanic,Science,41,40,5901
White,Science,86,74,5901
All students,Math,40,37,5847
Hispanic,Math,38,24,5847
All students,English,51,48,5847
Hispanic,English,50,37,5847
All students,Science,52,53,5847
Hispanic,Science,52,40,5847
All students,Math,80,37,6041
White,Math,75,53,6041
Asian,Math,92,72,6041
Filipino,Math,69,57,6041
Two or more races,Math,78,52,6041
Hispanic,Math,82,24,6041
All students,English,85,48,6041
White,English,83,64,6041
Asian,English,90,75,6041
Filipino,English,86,70,6041
Two or more races,English,81,63,6041
