Ethnicity,Subject,TestScorePercentage,StateTestPercentage,gsid
Asian,English,91,75,12041
Two or more races,English,91,63,12041
Hispanic,English,71,37,12041
All students,Math,83,37,12041
White,Math,80,53,12041
Asian,Math,90,72,12041
Two or more races,Math,87,52,12041
Hispanic,Math,83,24,12041
All students,Science,89,53,12041
White,Science,88,74,12041
Asian,Science,96,78,12041
Two or more races,Science,91,72,12041
All students,English,49,48,5851
Hispanic,English,48,37,5851
White,English,62,64,5851
Filipino,English,82,70,5851
All students,Math,41,37,5851
Hispanic,Math,38,24,5851
White,Math,54,53,5851
Filipino,Math,82,57,5851
All students,Science,53,53,5851
Hispanic,Science,53,40,5851
All students,Science,89,50,6233
White,Science,90,68,6233
Asian,Science,95,76,6233
Hispanic,Science,75,37,6233
Two or more races,Science,95,66,6233
Filipino,Science,94,67,6233
Black,Science,82,32,6233
All students,English,83,48,6233
White,English,84,64,6233
Asian,English,94,75,6233
Hispanic,English,67,37,6233
Two or more races,English,82,63,6233
Filipino,English,83,70,6233
Black,English,75,31,6233
All students,Math,72,37,6233
White,Math,75,53,6233
Asian,Math,85,72,6233
Hispanic,Math,50,24,6233
Two or more races,Math,71,52,6233
Filipino,Math,67,57,6233
Black,Math,60,18,6233
All students,English,86,48,3466
White,English,87,64,3466
Hispanic,English,83,37,3466
All students,Math,83,37,3466
White,Math,83,53,3466
Hispanic,Math,88,24,3466
All students,Science,95,57,3466
White,Science,94,76,3466
All students,Math,41,37,25254
Hispanic,Math,49,24,25254
Black,Math,21,18,25254
White,Math,57,53,25254
All students,English,51,48,25254
Hispanic,English,57,37,25254
Black,English,32,31,25254
White,English,70,64,25254
All students,Science,78,53,25254
Hispanic,Science,100,40,25254
All students,Math,34,37,7493
White,Math,37,53,7493
Hispanic,Math,26,24,7493
All students,English,52,48,7493
White,English,55,64,7493
Hispanic,English,46,37,7493
All students,Science,44,57,7493
White,Science,46,76,7493
Hispanic,Science,36,44,7493
All students,Science,57,50,6235
Hispanic,Science,43,37,6235
White,Science,75,68,6235
Asian,Science,63,76,6235
Black,Science,59,32,6235
Two or more races,Science,63,66,6235
Filipino,Science,58,67,6235
All students,English,60,48,6235
Hispanic,English,45,37,6235
White,English,73,64,6235
Asian,English,85,75,6235
Black,English,53,31,6235
Two or more races,English,65,63,6235
Filipino,English,69,70,6235
All students,Math,35,37,6235
Hispanic,Math,24,24,6235
White,Math,45,53,6235
Asian,Math,65,72,6235
Black,Math,20,18,6235
Two or more races,Math,26,52,6235
Filipino,Math,69,57,6235
All students,Math,37,37,5788
White,Math,38,53,5788
Hispanic,Math,35,24,5788
All students,English,41,48,5788
White,English,45,64,5788
Hispanic,English,41,37,5788
All students,Science,98,53,5788
White,Science,100,74,5788
All students,Math,63,37,6046
White,Math,61,53,6046
Asian,Math,78,72,6046
Hispanic,Math,48,24,6046
Two or more races,Math,72,52,6046
Filipino,Math,60,57,6046
All students,English,72,48,6046
White,English,72,64,6046
Asian,English,86,75,6046
Hispanic,English,55,37,6046
Two or more races,English,72,63,6046
Filipino,English,80,70,6046
All students,Science,73,53,6046
White,Science,72,74,6046
Asian,Science,74,78,6046
All students,Math,15,37,6295
Hispanic,Math,14,24,6295
All students,English,26,48,6295
Hispanic,English,25,37,6295
All students,Science,27,61,6295
Hispanic,Science,25,49,6295
All students,English,56,48,3322
White,English,62,64,3322
Hispanic,English,38,37,3322
Two or more races,English,58,63,3322
All students,Math,58,37,3322
White,Math,67,53,3322
Hispanic,Math,42,24,3322
Two or more races,Math,61,52,3322
All students,Science,60,53,3322
White,Science,63,74,3322
Hispanic,Science,50,40,3322
All students,Math,28,37,6302
Hispanic,Math,28,24,6302
All students,English,40,48,6302
Hispanic,English,40,37,6302
All students,Science,40,53,6302
Hispanic,Science,40,40,6302
All students,Math,48,37,6073
White,Math,50,53,6073
Hispanic,Math,41,24,6073
Two or more races,Math,43,52,6073
All students,English,63,48,6073
White,English,68,64,6073
Hispanic,English,50,37,6073
Two or more races,English,64,63,6073
All students,Science,62,53,6073
White,Science,63,74,6073
All students,Math,28,37,12450
Hispanic,Math,21,24,12450
Black,Math,18,18,12450
White,Math,44,53,12450
Two or more races,Math,33,52,12450
Asian,Math,59,72,12450
Filipino,Math,58,57,12450
All students,English,48,48,12450
Hispanic,English,40,37,12450
Black,English,44,31,12450
White,English,65,64,12450
Two or more races,English,64,63,12450
Asian,English,69,75,12450
Filipino,English,79,70,12450
All students,Science,65,61,12450
Hispanic,Science,65,49,12450
Black,Science,48,43,12450
White,Science,82,78,12450
Two or more races,Science,74,75,12450
Asian,Science,75,85,12450
All students,Math,24,37,11120
Hispanic,Math,21,24,11120
White,Math,62,53,11120
Black,Math,30,18,11120
Filipino,Math,40,57,11120
Two or more races,Math,8,52,11120
All students,English,41,48,11120
Hispanic,English,39,37,11120
White,English,69,64,11120
Black,English,48,31,11120
Filipino,English,47,70,11120
Two or more races,English,42,63,11120
All students,Science,37,53,11120
Hispanic,Science,35,40,11120
All students,Math,23,37,1690
Hispanic,Math,30,24,1690
Black,Math,14,18,1690
White,Math,22,53,1690
All students,English,28,48,1690
Hispanic,English,34,37,1690
Black,English,15,31,1690
White,English,30,64,1690
All students,Science,29,53,1690
Hispanic,Science,39,40,1690
Black,Science,11,36,1690
All students,English,75,48,6243
White,English,88,64,6243
Hispanic,English,56,37,6243
Two or more races,English,92,63,6243
Asian,English,65,75,6243
Black,English,83,31,6243
All students,Math,65,37,6243
White,Math,74,53,6243
Hispanic,Math,57,24,6243
Two or more races,Math,68,52,6243
Asian,Math,71,72,6243
Black,Math,50,18,6243
All students,Science,90,53,6243
White,Science,86,74,6243
Hispanic,Science,89,40,6243
All students,Math,51,37,6244
Hispanic,Math,42,24,6244
White,Math,60,53,6244
Two or more races,Math,82,52,6244
All students,English,58,48,6244
Hispanic,English,46,37,6244
White,English,67,64,6244
Two or more races,English,82,63,6244
All students,Science,67,53,6244
Hispanic,Science,50,40,6244
All students,Math,42,37,6269
Hispanic,Math,31,24,6269
White,Math,60,53,6269
Asian,Math,83,72,6269
All students,English,51,48,6269
Hispanic,English,41,37,6269
White,English,68,64,6269
Asian,English,83,75,6269
All students,Science,60,53,6269
Hispanic,Science,45,40,6269
White,Science,89,74,6269
All students,Math,55,37,6051
White,Math,61,53,6051
Hispanic,Math,32,24,6051
Asian,Math,78,72,6051
Two or more races,Math,62,52,6051
Filipino,Math,53,57,6051
Black,Math,43,18,6051
All students,English,68,48,6051
White,English,72,64,6051
Hispanic,English,52,37,6051
Asian,English,89,75,6051
Two or more races,English,70,63,6051
Filipino,English,58,70,6051
Black,English,61,31,6051
All students,Science,91,61,6051
White,Science,93,78,6051
Hispanic,Science,78,49,6051
Asian,Science,96,85,6051
Two or more races,Science,96,75,6051
All students,Science,72,50,6248
White,Science,86,68,6248
Hispanic,Science,47,37,6248
Asian,Science,83,76,6248
Filipino,Science,85,67,6248
Two or more races,Science,87,66,6248
Black,Science,56,32,6248
All students,English,81,48,6248
White,English,93,64,6248
Hispanic,English,65,37,6248
Asian,English,96,75,6248
Filipino,English,86,70,6248
Two or more races,English,90,63,6248
Black,English,67,31,6248
All students,Math,58,37,6248
White,Math,73,53,6248
Hispanic,Math,40,24,6248
Asian,Math,75,72,6248
Filipino,Math,52,57,6248
Two or more races,Math,75,52,6248
Black,Math,27,18,6248
All students,English,31,48,6329
Hispanic,English,29,37,6329
White,English,58,64,6329
All students,Math,15,37,6329
Hispanic,Math,13,24,6329
White,Math,42,53,6329
All students,Science,23,53,6329
Hispanic,Science,19,40,6329
All students,Math,23,37,5811
White,Math,33,53,5811
Hispanic,Math,14,24,5811
Black,Math,11,18,5811
All students,English,25,48,5811
White,English,35,64,5811
Hispanic,English,20,37,5811
Black,English,5,31,5811
All students,Science,40,53,5811
White,Science,49,74,5811
Hispanic,Science,35,40,5811
All students,Math,32,37,6251
Hispanic,Math,16,24,6251
Filipino,Math,41,57,6251
Asian,Math,54,72,6251
Two or more races,Math,40,52,6251
White,Math,55,53,6251
All students,English,44,48,6251
Hispanic,English,24,37,6251
Filipino,English,59,70,6251
Asian,English,60,75,6251
Two or more races,English,52,63,6251
White,English,45,64,6251
All students,Science,55,53,6251
Hispanic,Science,29,40,6251
Filipino,Science,67,72,6251
All students,English,59,48,6252
Hispanic,English,45,37,6252
Filipino,English,69,70,6252
Asian,English,73,75,6252
White,English,60,64,6252
Two or more races,English,66,63,6252
Black,English,24,31,6252
All students,Math,44,37,6252
Hispanic,Math,27,24,6252
Filipino,Math,46,57,6252
Asian,Math,66,72,6252
White,Math,48,53,6252
Two or more races,Math,56,52,6252
Black,Math,12,18,6252
All students,Science,73,61,6252
Hispanic,Science,63,49,6252
Filipino,Science,81,79,6252
Asian,Science,84,85,6252
White,Science,84,78,6252
Two or more races,Science,78,75,6252
Black,Science,35,43,6252
All students,Science,79,50,12216
White,Science,77,68,12216
Asian,Science,88,76,12216
Hispanic,Science,73,37,12216
Filipino,Science,70,67,12216
Two or more races,Science,74,66,12216
Black,Science,83,32,12216
All students,English,77,48,12216
White,English,74,64,12216
Asian,English,90,75,12216
Hispanic,English,56,37,12216
Filipino,English,68,70,12216
Two or more races,English,76,63,12216
All students,Math,72,37,12216
White,Math,70,53,12216
Asian,Math,88,72,12216
Hispanic,Math,48,24,12216
Filipino,Math,51,57,12216
Two or more races,Math,83,52,12216
All students,English,36,48,1431
Hispanic,English,34,37,1431
Black,English,30,31,1431
Asian,English,39,75,1431
Filipino,English,55,70,1431
All students,Math,16,37,1431
Hispanic,Math,14,24,1431
Black,Math,17,18,1431
Asian,Math,28,72,1431
Filipino,Math,36,57,1431
All students,Science,43,53,1431
Hispanic,Science,40,40,1431
All students,Math,64,37,17509
Filipino,Math,73,57,17509
Hispanic,Math,55,24,17509
White,Math,69,53,17509
Black,Math,46,18,17509
Two or more races,Math,70,52,17509
Asian,Math,73,72,17509
All students,English,77,48,17509
Filipino,English,86,70,17509
Hispanic,English,66,37,17509
White,English,83,64,17509
Black,English,70,31,17509
Two or more races,English,70,63,17509
Asian,English,81,75,17509
All students,Science,80,53,17509
Filipino,Science,86,72,17509
Hispanic,Science,70,40,17509
White,Science,83,74,17509
All students,Science,93,50,14326
White,Science,91,68,14326
Asian,Science,98,76,14326
Hispanic,Science,95,37,14326
All students,English,92,48,14326
White,English,91,64,14326
Asian,English,97,75,14326
Hispanic,English,89,37,14326
All students,Math,80,37,14326
White,Math,77,53,14326
Asian,Math,95,72,14326
Hispanic,Math,63,24,14326
All students,English,85,48,11118
White,English,87,64,11118
Asian,English,88,75,11118
Hispanic,English,65,37,11118
Two or more races,English,89,63,11118
Filipino,English,94,70,11118
All students,Math,83,37,11118
White,Math,80,53,11118
Asian,Math,94,72,11118
Hispanic,Math,54,24,11118
Two or more races,Math,94,52,11118
Filipino,Math,78,57,11118
All students,Science,89,61,11118
White,Science,89,78,11118
Asian,Science,95,85,11118
Hispanic,Science,64,49,11118
All students,Math,74,37,6086
White,Math,77,53,6086
Hispanic,Math,50,24,6086
Asian,Math,78,72,6086
Two or more races,Math,94,52,6086
All students,English,77,48,6086
White,English,80,64,6086
Hispanic,English,51,37,6086
Asian,English,87,75,6086
Two or more races,English,88,63,6086
All students,Science,83,61,6086
White,Science,85,78,6086
Hispanic,Science,72,49,6086
Asian,Science,84,85,6086
All students,Math,64,37,6178
White,Math,70,53,6178
Hispanic,Math,47,24,6178
Two or more races,Math,66,52,6178
Asian,Math,81,72,6178
All students,English,70,48,6178
White,English,73,64,6178
Hispanic,English,55,37,6178
Two or more races,English,72,63,6178
Asian,English,81,75,6178
All students,Science,77,53,6178
White,Science,75,74,6178
Hispanic,Science,85,40,6178
Two or more races,Science,73,72,6178
All students,Math,38,37,5972
White,Math,51,53,5972
Hispanic,Math,26,24,5972
Two or more races,Math,40,52,5972
Black,Math,29,18,5972
All students,English,39,48,5972
White,English,54,64,5972
Hispanic,English,28,37,5972
Two or more races,English,32,63,5972
Black,English,29,31,5972
All students,Science,56,53,5972
White,Science,73,74,5972
Hispanic,Science,40,40,5972
All students,Math,88,37,11125
White,Math,88,53,11125
Asian,Math,96,72,11125
Hispanic,Math,87,24,11125
Two or more races,Math,89,52,11125
All students,English,93,48,11125
White,English,93,64,11125
Asian,English,96,75,11125
Hispanic,English,98,37,11125
Two or more races,English,85,63,11125
All students,Science,98,53,11125
White,Science,100,74,11125
Asian,Science,94,78,11125
Hispanic,Science,94,40,11125
All students,Science,80,50,6089
White,Science,85,68,6089
Hispanic,Science,54,37,6089
Asian,Science,88,76,6089
All students,English,89,48,6089
White,English,91,64,6089
Hispanic,English,79,37,6089
Asian,English,95,75,6089
All students,Math,64,37,6089
White,Math,70,53,6089
Hispanic,Math,36,24,6089
Asian,Math,95,72,6089
All students,Math,78,37,12213
Asian,Math,89,72,12213
White,Math,75,53,12213
Hispanic,Math,60,24,12213
Two or more races,Math,83,52,12213
All students,English,84,48,12213
Asian,English,91,75,12213
White,English,84,64,12213
Hispanic,English,69,37,12213
Two or more races,English,89,63,12213
All students,Science,92,53,12213
Asian,Science,91,78,12213
White,Science,92,74,12213
All students,Math,16,37,6260
Hispanic,Math,15,24,6260
White,Math,32,53,6260
All students,English,27,48,6260
Hispanic,English,26,37,6260
White,English,23,64,6260
All students,Science,14,53,6260
Hispanic,Science,10,40,6260
All students,Math,77,37,11229
White,Math,82,53,11229
Hispanic,Math,53,24,11229
Asian,Math,94,72,11229
Two or more races,Math,77,52,11229
Filipino,Math,86,57,11229
All students,English,78,48,11229
White,English,83,64,11229
Hispanic,English,55,37,11229
Asian,English,94,75,11229
Two or more races,English,85,63,11229
Filipino,English,93,70,11229
All students,Science,94,53,11229
White,Science,97,74,11229
Hispanic,Science,77,40,11229
Asian,Science,95,78,11229
All students,Math,53,37,1256
White,Math,58,53,1256
Hispanic,Math,45,24,1256
Two or more races,Math,67,52,1256
Asian,Math,73,72,1256
Filipino,Math,61,57,1256
Black,Math,17,18,1256
All students,English,64,48,1256
White,English,66,64,1256
Hispanic,English,59,37,1256
Two or more races,English,67,63,1256
Asian,English,82,75,1256
Filipino,English,82,70,1256
Black,English,42,31,1256
All students,Science,66,53,1256
White,Science,70,74,1256
Hispanic,Science,60,40,1256
All students,Math,21,37,14143
Hispanic,Math,20,24,14143
White,Math,36,53,14143
All students,English,32,48,14143
Hispanic,English,30,37,14143
White,English,64,64,14143
All students,Science,24,53,14143
Hispanic,Science,23,40,14143
All students,Math,12,37,5814
Hispanic,Math,10,24,5814
White,Math,12,53,5814
Black,Math,11,18,5814
All students,English,18,48,5814
Hispanic,English,18,37,5814
White,English,16,64,5814
Black,English,13,31,5814
All students,Science,31,53,5814
Hispanic,Science,36,40,5814
White,Science,13,74,5814
Black,Science,35,36,5814
All students,English,69,48,6087
White,English,71,64,6087
Hispanic,English,47,37,6087
Asian,English,83,75,6087
All students,Math,55,37,6087
White,Math,59,53,6087
Hispanic,Math,29,24,6087
Asian,Math,92,72,6087
All students,Science,73,50,6087
White,Science,78,68,6087
Hispanic,Science,50,37,6087
Asian,Science,73,76,6087
All students,English,47,48,6016
Hispanic,English,36,37,6016
White,English,60,64,6016
Two or more races,English,56,63,6016
Black,English,31,31,6016
All students,Math,39,37,6016
Hispanic,Math,24,24,6016
White,Math,56,53,6016
Two or more races,Math,56,52,6016
Black,Math,23,18,6016
All students,Science,46,53,6016
Hispanic,Science,25,40,6016
White,Science,69,74,6016
All students,Math,33,37,6017
Hispanic,Math,26,24,6017
White,Math,45,53,6017
Two or more races,Math,69,52,6017
Black,Math,25,18,6017
Filipino,Math,50,57,6017
All students,English,32,48,6017
Hispanic,English,27,37,6017
White,English,48,64,6017
Two or more races,English,69,63,6017
Black,English,0,31,6017
Filipino,English,33,70,6017
All students,Science,45,53,6017
Hispanic,Science,35,40,6017
White,Science,73,74,6017
All students,English,82,48,17072
White,English,87,64,17072
Hispanic,English,55,37,17072
Asian,English,93,75,17072
Two or more races,English,89,63,17072
Filipino,English,95,70,17072
Black,English,64,31,17072
All students,Math,75,37,17072
White,Math,80,53,17072
Hispanic,Math,46,24,17072
Asian,Math,90,72,17072
Two or more races,Math,81,52,17072
Filipino,Math,95,57,17072
Black,Math,45,18,17072
All students,Science,85,53,17072
White,Science,88,74,17072
Hispanic,Science,64,40,17072
Asian,Science,100,78,17072
Two or more races,Science,73,72,17072
All students,English,77,48,13780
White,English,80,64,13780
Hispanic,English,58,37,13780
Asian,English,92,75,13780
Filipino,English,86,70,13780
Black,English,64,31,13780
Two or more races,English,81,63,13780
Native American or Native Alaskan,English,73,36,13780
Pacific Islander,English,58,42,13780
All students,Math,61,37,13780
White,Math,65,53,13780
Hispanic,Math,41,24,13780
Asian,Math,82,72,13780
Filipino,Math,78,57,13780
Black,Math,45,18,13780
Two or more races,Math,57,52,13780
Native American or Native Alaskan,Math,55,25,13780
Pacific Islander,Math,33,30,13780
All students,Science,78,61,13780
White,Science,82,78,13780
Hispanic,Science,57,49,13780
Asian,Science,92,85,13780
Filipino,Science,88,79,13780
All students,Math,20,37,6265
Hispanic,Math,20,24,6265
All students,English,33,48,6265
Hispanic,English,33,37,6265
All students,Science,10,53,6265
Hispanic,Science,10,40,6265
All students,Science,68,50,6266
White,Science,79,68,6266
Hispanic,Science,49,37,6266
Asian,Science,90,76,6266
Black,Science,61,32,6266
Filipino,Science,82,67,6266
Two or more races,Science,75,66,6266
All students,Math,47,37,6266
White,Math,64,53,6266
Hispanic,Math,24,24,6266
Asian,Math,82,72,6266
Black,Math,35,18,6266
Filipino,Math,71,57,6266
All students,English,81,48,6266
White,English,91,64,6266
Hispanic,English,68,37,6266
Asian,English,97,75,6266
Black,English,76,31,6266
Filipino,English,100,70,6266
All students,English,48,48,6267
Hispanic,English,41,37,6267
White,English,77,64,6267
Asian,English,85,75,6267
Filipino,English,89,70,6267
Black,English,45,31,6267
Two or more races,English,33,63,6267
All students,Math,29,37,6267
Hispanic,Math,22,24,6267
White,Math,55,53,6267
Asian,Math,73,72,6267
Filipino,Math,72,57,6267
Black,Math,28,18,6267
Two or more races,Math,42,52,6267
All students,Science,39,61,6267
Hispanic,Science,31,49,6267
White,Science,55,78,6267
Asian,Science,88,85,6267
Filipino,Science,88,79,6267
All students,Math,62,37,6091
White,Math,55,53,6091
Asian,Math,90,72,6091
Hispanic,Math,44,24,6091
All students,English,78,48,6091
White,English,78,64,6091
Asian,English,90,75,6091
Hispanic,English,58,37,6091
All students,Science,80,50,6091
White,Science,81,68,6091
Asian,Science,90,76,6091
Hispanic,Science,60,37,6091
All students,Math,56,37,6276
White,Math,63,53,6276
Hispanic,Math,36,24,6276
Two or more races,Math,62,52,6276
All students,English,69,48,6276
White,English,77,64,6276
Hispanic,English,43,37,6276
Two or more races,English,81,63,6276
All students,Science,74,57,6276
White,Science,83,76,6276
Hispanic,Science,46,44,6276
All students,Math,17,37,6300
Hispanic,Math,16,24,6300
All students,English,32,48,6300
Hispanic,English,31,37,6300
All students,Science,40,61,6300
Hispanic,Science,40,49,6300
All students,Math,36,37,5853
Hispanic,Math,31,24,5853
White,Math,58,53,5853
Filipino,Math,84,57,5853
All students,English,57,48,5853
Hispanic,English,55,37,5853
White,English,42,64,5853
Filipino,English,84,70,5853
All students,Science,61,53,5853
Hispanic,Science,56,40,5853
All students,Math,11,37,7498
Hispanic,Math,10,24,7498
White,Math,22,53,7498
All students,English,20,48,7498
Hispanic,English,19,37,7498
White,English,33,64,7498
All students,Science,23,57,7498
Hispanic,Science,23,44,7498
All students,Math,55,37,17657
White,Math,56,53,17657
Hispanic,Math,46,24,17657
Two or more races,Math,60,52,17657
Filipino,Math,65,57,17657
Asian,Math,94,72,17657
Native American or Native Alaskan,Math,36,25,17657
All students,English,62,48,17657
White,English,66,64,17657
Hispanic,English,55,37,17657
Two or more races,English,77,63,17657
Filipino,English,71,70,17657
Asian,English,82,75,17657
Native American or Native Alaskan,English,45,36,17657
All students,Science,69,53,17657
White,Science,73,74,17657
Hispanic,Science,64,40,17657
Two or more races,Science,69,72,17657
All students,Math,29,37,6256
Hispanic,Math,22,24,6256
White,Math,56,53,6256
All students,English,40,48,6256
Hispanic,English,32,37,6256
White,English,61,64,6256
All students,Science,47,53,6256
Hispanic,Science,29,40,6256
All students,Math,44,37,6064
White,Math,47,53,6064
Hispanic,Math,29,24,6064
Two or more races,Math,55,52,6064
Asian,Math,33,72,6064
All students,English,54,48,6064
White,English,57,64,6064
Hispanic,English,42,37,6064
Two or more races,English,58,63,6064
Asian,English,50,75,6064
All students,Science,59,57,6064
White,Science,62,76,6064
Hispanic,Science,52,44,6064
Two or more races,Science,82,72,6064
All students,Math,55,37,6065
White,Math,56,53,6065
Hispanic,Math,38,24,6065
Two or more races,Math,66,52,6065
All students,English,59,48,6065
White,English,59,64,6065
Hispanic,English,52,37,6065
Two or more races,English,72,63,6065
All students,Science,70,57,6065
White,Science,73,76,6065
All students,Math,53,37,6066
White,Math,55,53,6066
Hispanic,Math,46,24,6066
Two or more races,Math,57,52,6066
Asian,Math,64,72,6066
All students,English,64,48,6066
White,English,63,64,6066
Hispanic,English,58,37,6066
Two or more races,English,66,63,6066
Asian,English,91,75,6066
All students,Science,79,57,6066
White,Science,82,76,6066
Hispanic,Science,68,44,6066
Two or more races,Science,67,72,6066
All students,Math,42,37,6067
White,Math,46,53,6067
Hispanic,Math,29,24,6067
Two or more races,Math,44,52,6067
Asian,Math,55,72,6067
All students,English,49,48,6067
White,English,55,64,6067
Hispanic,English,42,37,6067
Two or more races,English,41,63,6067
Asian,English,64,75,6067
All students,Science,54,57,6067
White,Science,58,76,6067
Hispanic,Science,43,44,6067
All students,Math,38,37,5961
Hispanic,Math,34,24,5961
White,Math,51,53,5961
Black,Math,28,18,5961
Two or more races,Math,53,52,5961
All students,English,34,48,5961
Hispanic,English,30,37,5961
White,English,46,64,5961
Black,English,24,31,5961
Two or more races,English,35,63,5961
All students,Science,29,53,5961
Hispanic,Science,22,40,5961
White,Science,50,74,5961
All students,Math,43,37,6220
Hispanic,Math,38,24,6220
Filipino,Math,57,57,6220
Black,Math,32,18,6220
Two or more races,Math,55,52,6220
All students,English,57,48,6220
Hispanic,English,48,37,6220
Filipino,English,67,70,6220
Black,English,48,31,6220
Two or more races,English,80,63,6220
All students,Science,35,53,6220
Hispanic,Science,30,40,6220
Filipino,Science,36,72,6220
All students,Math,34,37,5846
Hispanic,Math,33,24,5846
All students,English,54,48,5846
Hispanic,English,52,37,5846
All students,Science,29,53,5846
Hispanic,Science,26,40,5846
All students,Math,60,37,6264
White,Math,69,53,6264
Hispanic,Math,50,24,6264
Asian,Math,73,72,6264
Filipino,Math,67,57,6264
All students,English,62,48,6264
White,English,70,64,6264
Hispanic,English,51,37,6264
Asian,English,73,75,6264
Filipino,English,67,70,6264
All students,Science,68,53,6264
White,Science,81,74,6264
Hispanic,Science,52,40,6264
All students,Science,43,50,6297
Hispanic,Science,41,37,6297
Filipino,Science,59,67,6297
Two or more races,Science,64,66,6297
All students,Math,23,37,6297
Hispanic,Math,19,24,6297
Filipino,Math,45,57,6297
Black,Math,17,18,6297
Two or more races,Math,53,52,6297
All students,English,54,48,6297
Hispanic,English,50,37,6297
Filipino,English,82,70,6297
Black,English,42,31,6297
Two or more races,English,56,63,6297
All students,Math,41,37,11837
Hispanic,Math,26,24,11837
White,Math,53,53,11837
Black,Math,20,18,11837
Asian,Math,71,72,11837
All students,English,63,48,11837
Hispanic,English,53,37,11837
White,English,69,64,11837
Black,English,40,31,11837
Asian,English,86,75,11837
All students,Science,35,50,11837
Hispanic,Science,19,37,11837
White,Science,60,68,11837
Black,Science,18,32,11837
All students,English,68,48,13754
Hispanic,English,61,37,13754
White,English,74,64,13754
All students,Math,40,37,13754
Hispanic,Math,31,24,13754
White,Math,58,53,13754
All students,Science,30,50,13754
Hispanic,Science,15,37,13754
White,Science,65,68,13754
All students,Math,36,37,12442
Hispanic,Math,24,24,12442
White,Math,50,53,12442
Black,Math,24,18,12442
Asian,Math,76,72,12442
Two or more races,Math,33,52,12442
All students,English,53,48,12442
Hispanic,English,44,37,12442
White,English,61,64,12442
Black,English,52,31,12442
Asian,English,71,75,12442
Two or more races,English,56,63,12442
All students,Science,49,61,12442
Hispanic,Science,33,49,12442
White,Science,63,78,12442
Black,Science,42,43,12442
All students,Math,36,37,12442
Hispanic,Math,24,24,12442
White,Math,50,53,12442
Black,Math,24,18,12442
Asian,Math,76,72,12442
Two or more races,Math,33,52,12442
All students,English,53,48,12442
Hispanic,English,44,37,12442
White,English,61,64,12442
Black,English,52,31,12442
Asian,English,71,75,12442
Two or more races,English,56,63,12442
All students,Science,49,61,12442
Hispanic,Science,33,49,12442
White,Science,63,78,12442
Black,Science,42,43,12442
All students,Math,69,37,5863
White,Math,70,53,5863
Hispanic,Math,67,24,5863
Two or more races,Math,77,52,5863
All students,English,68,48,5863
White,English,68,64,5863
Hispanic,English,70,37,5863
Two or more races,English,63,63,5863
All students,Science,84,53,5863
White,Science,83,74,5863
Hispanic,Science,100,40,5863
Two or more races,Science,82,72,5863
All students,Math,71,37,6272
White,Math,78,53,6272
Hispanic,Math,45,24,6272
Asian,Math,90,72,6272
Two or more races,Math,87,52,6272
All students,English,79,48,6272
White,English,87,64,6272
Hispanic,English,50,37,6272
Asian,English,90,75,6272
Two or more races,English,100,63,6272
All students,Science,68,53,6272
White,Science,73,74,6272
Hispanic,Science,47,40,6272
All students,Math,84,37,13714
White,Math,82,53,13714
Asian,Math,89,72,13714
Hispanic,Math,78,24,13714
Two or more races,Math,87,52,13714
All students,English,90,48,13714
White,English,88,64,13714
Asian,English,94,75,13714
Hispanic,English,86,37,13714
Two or more races,English,100,63,13714
All students,Science,81,53,13714
White,Science,83,74,13714
Asian,Science,78,78,13714
Hispanic,Science,64,40,13714
Two or more races,Science,100,72,13714
All students,Math,85,37,31814
Asian,Math,94,72,31814
White,Math,78,53,31814
Hispanic,Math,74,24,31814
All students,English,89,48,31814
Asian,English,90,75,31814
White,English,86,64,31814
Hispanic,English,96,37,31814
All students,Science,82,53,31814
Asian,Science,84,78,31814
White,Science,79,74,31814
All students,Math,18,37,6074
Hispanic,Math,18,24,6074
White,Math,22,53,6074
All students,English,24,48,6074
Hispanic,English,22,37,6074
White,English,61,64,6074
All students,Science,28,53,6074
Hispanic,Science,24,40,6074
All students,Math,11,37,5888
Hispanic,Math,10,24,5888
All students,English,23,48,5888
Hispanic,English,23,37,5888
All students,Science,23,53,5888
Hispanic,Science,22,40,5888
All students,Math,25,37,6135
Hispanic,Math,23,24,6135
All students,English,33,48,6135
Hispanic,English,32,37,6135
All students,Science,51,53,6135
Hispanic,Science,51,40,6135
All students,Math,30,37,5506
Hispanic,Math,28,24,5506
White,Math,23,53,5506
All students,English,29,48,5506
Hispanic,English,25,37,5506
White,English,50,64,5506
All students,Science,36,53,5506
Hispanic,Science,32,40,5506
All students,Math,33,37,14872
Black,Math,35,18,14872
White,Math,39,53,14872
Hispanic,Math,6,24,14872
All students,English,39,48,14872
Black,English,40,31,14872
White,English,44,64,14872
Hispanic,English,14,37,14872
All students,Science,45,57,14872
Black,Science,46,40,14872
All students,English,41,48,6292
Hispanic,English,39,37,6292
Filipino,English,73,70,6292
Two or more races,English,36,63,6292
All students,Math,21,37,6292
Hispanic,Math,19,24,6292
Filipino,Math,51,57,6292
All students,Science,36,61,6292
Hispanic,Science,33,49,6292
Filipino,Science,68,79,6292
All students,Math,50,37,17054
Hispanic,Math,42,24,17054
Filipino,Math,69,57,17054
Two or more races,Math,61,52,17054
Black,Math,41,18,17054
White,Math,53,53,17054
Asian,Math,58,72,17054
All students,English,84,48,17054
Hispanic,English,81,37,17054
Filipino,English,96,70,17054
Two or more races,English,92,63,17054
Black,English,63,31,17054
White,English,85,64,17054
